Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
17 NOV 2025,17 NOV 2025,UPI/200000072/MERCHANT/merch@ybl/Payment,200000072,149.00,,42946.00
17 NOV 2025,17 NOV 2025,UPI/200000073/MERCHANT/merch@ybl/Payment,200000073,349.00,,42597.00
17 NOV 2025,17 NOV 2025,UPI/200000074/SWIGGY/swiggy@payt/Payment,200000074,249.00,,42348.00
17 NOV 2025,17 NOV 2025,UPI/200000075/MERCHANT/merch@ybl/Payment,200000075,149.00,,42199.00
18 NOV 2025,18 NOV 2025,UPI/112233445566/CRYPTOX EXCHANGE DUBAI/cryptox@ybl/Payment,200000076,52000.00,,-9801.00
18 NOV 2025,18 NOV 2025,POS PURCHASE POS FLIP MUMBAI 000077,200000077,2499.00,,-12300.00
18 NOV 2025,18 NOV 2025,POS PURCHASE POS HAL MUMBAI 000078,200000078,499.00,,-12799.00
18 NOV 2025,18 NOV 2025,POS PURCHASE POS PVR MUMBAI 000079,200000079,2499.00,,-15298.00
18 NOV 2025,18 NOV 2025,UPI/776655443322/AMAZON PAY/amazonpay@icici/Prime,200000080,299.00,,-15597.00
18 NOV 2025,18 NOV 2025,UPI/200000081/RAPIDO/rapido@ibl/Ride,200000081,99.00,,-15696.00
19 NOV 2025,19 NOV 2025,POS PURCHASE POS HAL MUMBAI 000082,200000082,149.00,,-15845.00
19 NOV 2025,19 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000083,200000083,49.00,,-15894.00
19 NOV 2025,19 NOV 2025,UPI/200000084/MERCHANT/merch@ybl/Payment,200000084,2499.00,,-18393.00
19 NOV 2025,19 NOV 2025,UPI/200000085/RAPIDO/rapido@ibl/Ride,200000085,2499.00,,-20892.00
20 NOV 2025,20 NOV 2025,BBPS/MOBILE/JIO PREPAID/REF000086,200000086,499.00,,-21391.00
20 NOV 2025,20 NOV 2025,UPI/665544332211/HOTSTAR/hotstar@paytm/Video,200000087,299.00,,-21690.00
20 NOV 2025,20 NOV 2025,POS PURCHASE POS HP MUMBAI 000088,200000088,1899.00,,-23589.00
20 NOV 2025,20 NOV 2025,POS PURCHASE POS INOX MUMBAI 000089,200000089,2499.00,,-26088.00
20 NOV 2025,20 NOV 2025,UPI/200000090/OLA/ola@ybl/Ride,200000090,149.00,,-26237.00
21 NOV 2025,21 NOV 2025,POS PURCHASE POS APOLLO MUMBAI 000091,200000091,1899.00,,-28136.00
21 NOV 2025,21 NOV 2025,POS PURCHASE POS FLIP MUMBAI 000092,200000092,149.00,,-28285.00
21 NOV 2025,21 NOV 2025,POS PURCHASE POS KFC MUMBAI 000093,200000093,299.00,,-28584.00
21 NOV 2025,21 NOV 2025,UPI/200000094/UBER/uber@axis/Ride,200000094,499.00,,-29083.00
22 NOV 2025,22 NOV 2025,POS PURCHASE POS HP MUMBAI 000095,200000095,99.00,,-29182.00
22 NOV 2025,22 NOV 2025,UPI/200000096/MERCHANT/merch@ybl/Payment,200000096,799.00,,-29981.00
22 NOV 2025,22 NOV 2025,UPI/200000097/SWIGGY/swiggy@payt/Payment,200000097,249.00,,-30230.00
22 NOV 2025,22 NOV 2025,UPI/200000098/OLA/ola@ybl/Ride,200000098,499.00,,-30729.00
23 NOV 2025,23 NOV 2025,POS PURCHASE POS FORTIS MUMBAI 000099,200000099,499.00,,-31228.00
23 NOV 2025,23 NOV 2025,POS PURCHASE POS HP MUMBAI 000100,200000100,499.00,,-31727.00
23 NOV 2025,23 NOV 2025,POS PURCHASE POS SB MUMBAI 000101,200000101,799.00,,-32526.00
23 NOV 2025,23 NOV 2025,UPI/200000102/ZOMATO/zomato@ybl/Payment,200000102,249.00,,-32775.00
24 NOV 2025,24 NOV 2025,POS PURCHASE ECOM MYN MUMBAI 000103,200000103,249.00,,-33024.00
24 NOV 2025,24 NOV 2025,POS PURCHASE POS CCD MUMBAI 000104,200000104,2499.00,,-35523.00
24 NOV 2025,24 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000105,200000105,249.00,,-35772.00
24 NOV 2025,24 NOV 2025,UPI/200000106/RAPIDO/rapido@ibl/Ride,200000106,499.00,,-36271.00
25 NOV 2025,25 NOV 2025,POS PURCHASE POS BP MUMBAI 000107,200000107,149.00,,-36420.00
25 NOV 2025,25 NOV 2025,POS PURCHASE POS CCD MUMBAI 000108,200000108,99.00,,-36519.00
25 NOV 2025,25 NOV 2025,POS PURCHASE POS KFC MUMBAI 000109,200000109,2499.00,,-39018.00
25 NOV 2025,25 NOV 2025,POS PURCHASE POS SB MUMBAI 000110,200000110,2499.00,,-41517.00
26 NOV 2025,26 NOV 2025,BBPS/MOBILE/JIO PREPAID/REF000111,200000111,499.00,,-42016.00
26 NOV 2025,26 NOV 2025,POS PURCHASE POS IOCL MUMBAI 000112,200000112,349.00,,-42365.00
26 NOV 2025,26 NOV 2025,UPI/200000113/MERCHANT/merch@ybl/Payment,200000113,1899.00,,-44264.00
26 NOV 2025,26 NOV 2025,UPI/200000114/MERCHANT/merch@ybl/Payment,200000114,149.00,,-44413.00
27 NOV 2025,27 NOV 2025,NEFT DR-SBIN0099001-OFFSHORE TEST REMIT-N665544,200000115,89000.00,,-133413.00
27 NOV 2025,27 NOV 2025,POS PURCHASE ECOM MYN MUMBAI 000116,200000116,499.00,,-133912.00
27 NOV 2025,27 NOV 2025,POS PURCHASE POS FLIP MUMBAI 000117,200000117,199.00,,-134111.00
27 NOV 2025,27 NOV 2025,UPI/200000118/MERCHANT/merch@ybl/Payment,200000118,299.00,,-134410.00
27 NOV 2025,27 NOV 2025,UPI/200000119/MERCHANT/merch@ybl/Payment,200000119,1899.00,,-136309.00
28 NOV 2025,28 NOV 2025,BBPS/MOBILE/JIO PREPAID/REF000120,200000120,299.00,,-136608.00
28 NOV 2025,28 NOV 2025,POS PURCHASE POS BP MUMBAI 000121,200000121,349.00,,-136957.00
28 NOV 2025,28 NOV 2025,POS PURCHASE POS CCD MUMBAI 000122,200000122,49.00,,-137006.00
28 NOV 2025,28 NOV 2025,UPI/200000123/MERCHANT/merch@ybl/Payment,200000123,799.00,,-137805.00
29 NOV 2025,29 NOV 2025,POS PURCHASE POS APOLLO MUMBAI 000124,200000124,199.00,,-138004.00
29 NOV 2025,29 NOV 2025,POS PURCHASE POS MCD MUMBAI 000125,200000125,2499.00,,-140503.00
29 NOV 2025,29 NOV 2025,POS PURCHASE POS SB MUMBAI 000126,200000126,1299.00,,-141802.00
29 NOV 2025,29 NOV 2025,UPI/200000127/ZOMATO/zomato@ybl/Payment,200000127,499.00,,-142301.00
30 NOV 2025,30 NOV 2025,POS PURCHASE POS REL MUMBAI 000128,200000128,799.00,,-143100.00
30 NOV 2025,30 NOV 2025,UPI/200000129/ZOMATO/zomato@ybl/Payment,200000129,99.00,,-143199.00
30 NOV 2025,30 NOV 2025,UPI/200000130/ZOMATO/zomato@ybl/Payment,200000130,49.00,,-143248.00
30 NOV 2025,30 NOV 2025,UPI/200000131/MERCHANT/merch@ybl/Payment,200000131,2499.00,,-145747.00
01 DEC 2025,01 DEC 2025,NEFT CR-HDFC0001234-ABC COMPANY LTD-SALARY-200000132,200000132,,85000.00,-60747.00
01 DEC 2025,01 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000133,200000133,49.00,,-60796.00
01 DEC 2025,01 DEC 2025,POS PURCHASE POS INOX MUMBAI 000134,200000134,199.00,,-60995.00
01 DEC 2025,01 DEC 2025,POS PURCHASE POS INOX MUMBAI 000135,200000135,2499.00,,-63494.00
01 DEC 2025,01 DEC 2025,UPI/200000136/VI/vi@ibl/Recharge,200000136,1899.00,,-65393.00
02 DEC 2025,02 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000137,200000137,149.00,,-65542.00
02 DEC 2025,02 DEC 2025,POS PURCHASE POS HP MUMBAI 000138,200000138,99.00,,-65641.00
02 DEC 2025,02 DEC 2025,UPI/200000139/MERCHANT/merch@ybl/Payment,200000139,249.00,,-65890.00
02 DEC 2025,02 DEC 2025,UPI/200000140/MERCHANT/merch@ybl/Payment,200000140,2499.00,,-68389.00
03 DEC 2025,03 DEC 2025,UPI/223344556677/BINANCE INT/binance@ibl/Payment,200000141,48000.00,,-116389.00
03 DEC 2025,03 DEC 2025,POS PURCHASE ECOM MYN MUMBAI 000142,200000142,249.00,,-116638.00
03 DEC 2025,03 DEC 2025,POS PURCHASE POS FORTIS MUMBAI 000143,200000143,199.00,,-116837.00
03 DEC 2025,03 DEC 2025,POS PURCHASE POS HP MUMBAI 000144,200000144,249.00,,-117086.00
03 DEC 2025,03 DEC 2025,POS PURCHASE POS SB MUMBAI 000145,200000145,99.00,,-117185.00
04 DEC 2025,04 DEC 2025,POS PURCHASE POS BP MUMBAI 000146,200000146,99.00,,-117284.00
04 DEC 2025,04 DEC 2025,POS PURCHASE POS IOCL MUMBAI 000147,200000147,799.00,,-118083.00
04 DEC 2025,04 DEC 2025,UPI/200000148/MERCHANT/merch@ybl/Payment,200000148,199.00,,-118282.00
04 DEC 2025,04 DEC 2025,UPI/200000149/ZOMATO/zomato@ybl/Payment,200000149,2499.00,,-120781.00
05 DEC 2025,05 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000150,200000150,2499.00,,-123280.00
05 DEC 2025,05 DEC 2025,POS PURCHASE POS INOX MUMBAI 000151,200000151,1299.00,,-124579.00
05 DEC 2025,05 DEC 2025,NEFT DR-ICIC0005678-LANDLORD RENT-200000152,200000152,18000.00,,-142579.00
05 DEC 2025,05 DEC 2025,UPI/200000153/MERCHANT/merch@ybl/Payment,200000153,2499.00,,-145078.00
05 DEC 2025,05 DEC 2025,UPI/200000154/SWIGGY/swiggy@payt/Payment,200000154,199.00,,-145277.00
06 DEC 2025,06 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000155,200000155,499.00,,-145776.00
06 DEC 2025,06 DEC 2025,POS PURCHASE POS FLIP MUMBAI 000156,200000156,1299.00,,-147075.00
06 DEC 2025,06 DEC 2025,POS PURCHASE POS FORTIS MUMBAI 000157,200000157,49.00,,-147124.00
06 DEC 2025,06 DEC 2025,UPI/200000158/RAPIDO/rapido@ibl/Ride,200000158,2499.00,,-149623.00
07 DEC 2025,07 DEC 2025,POS PURCHASE POS DMART MUMBAI 000159,200000159,799.00,,-150422.00
07 DEC 2025,07 DEC 2025,POS PURCHASE POS FLIP MUMBAI 000160,200000160,299.00,,-150721.00
07 DEC 2025,07 DEC 2025,POS PURCHASE POS KFC MUMBAI 000161,200000161,799.00,,-151520.00
07 DEC 2025,07 DEC 2025,UPI/200000162/ZOMATO/zomato@ybl/Payment,200000162,349.00,,-151869.00
08 DEC 2025,08 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000163,200000163,1899.00,,-153768.00
08 DEC 2025,08 DEC 2025,BBPS/BROADBAND/ACT FIBERNET/REF000164,200000164,999.00,,-154767.00
08 DEC 2025,08 DEC 2025,POS PURCHASE POS SB MUMBAI 000165,200000165,349.00,,-155116.00
08 DEC 2025,08 DEC 2025,POS PURCHASE POS SB MUMBAI 000166,200000166,499.00,,-155615.00
08 DEC 2025,08 DEC 2025,UPI/200000167/MERCHANT/merch@ybl/Payment,200000167,99.00,,-155714.00
09 DEC 2025,09 DEC 2025,POS PURCHASE POS CCD MUMBAI 000168,200000168,249.00,,-155963.00
09 DEC 2025,09 DEC 2025,UPI/200000169/Phonepe/Airtel Recharge,200000169,49.00,,-156012.00
09 DEC 2025,09 DEC 2025,UPI/200000170/SWIGGY/swiggy@payt/Payment,200000170,299.00,,-156311.00
09 DEC 2025,09 DEC 2025,UPI/200000171/MERCHANT/merch@ybl/Payment,200000171,199.00,,-156510.00
10 DEC 2025,10 DEC 2025,BBPS/ELECTRICITY/ADANI ELECTRICITY MUMBAI/REF000172,200000172,3461.00,,-159971.00
10 DEC 2025,10 DEC 2025,POS PURCHASE POS BP MUMBAI 000173,200000173,349.00,,-160320.00
10 DEC 2025,10 DEC 2025,POS PURCHASE POS DOM MUMBAI 000174,200000174,2499.00,,-162819.00
10 DEC 2025,10 DEC 2025,POS PURCHASE POS IOCL MUMBAI 000175,200000175,199.00,,-163018.00
10 DEC 2025,10 DEC 2025,UPI/200000176/MERCHANT/merch@ybl/Payment,200000176,799.00,,-163817.00
11 DEC 2025,11 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000177,200000177,799.00,,-164616.00
11 DEC 2025,11 DEC 2025,POS PURCHASE POS FLIP MUMBAI 000178,200000178,349.00,,-164965.00
11 DEC 2025,11 DEC 2025,UPI/200000179/SWIGGY/swiggy@payt/Payment,200000179,99.00,,-165064.00
11 DEC 2025,11 DEC 2025,UPI/200000180/OLA/ola@ybl/Ride,200000180,799.00,,-165863.00
12 DEC 2025,12 DEC 2025,UPI/998877665544/NETFLIX/netflix@icici/Subscription,200000181,499.00,,-166362.00
12 DEC 2025,12 DEC 2025,POS PURCHASE POS DMART MUMBAI 000182,200000182,1299.00,,-167661.00
12 DEC 2025,12 DEC 2025,POS PURCHASE POS DOM MUMBAI 000183,200000183,499.00,,-168160.00
12 DEC 2025,12 DEC 2025,POS PURCHASE POS FORTIS MUMBAI 000184,200000184,799.00,,-168959.00
12 DEC 2025,12 DEC 2025,UPI/200000185/VI/vi@ibl/Recharge,200000185,299.00,,-169258.00
13 DEC 2025,13 DEC 2025,POS PURCHASE POS PVR MUMBAI 000186,200000186,49.00,,-169307.00
13 DEC 2025,13 DEC 2025,UPI/200000187/Phonepe/Airtel Recharge,200000187,249.00,,-169556.00
13 DEC 2025,13 DEC 2025,UPI/200000188/ZOMATO/zomato@ybl/Payment,200000188,2499.00,,-172055.00
13 DEC 2025,13 DEC 2025,UPI/200000189/MERCHANT/merch@ybl/Payment,200000189,299.00,,-172354.00
14 DEC 2025,14 DEC 2025,POS PURCHASE POS CCD MUMBAI 000190,200000190,199.00,,-172553.00
14 DEC 2025,14 DEC 2025,POS PURCHASE POS DMART MUMBAI 000191,200000191,1899.00,,-174452.00
14 DEC 2025,14 DEC 2025,POS PURCHASE POS HP MUMBAI 000192,200000192,149.00,,-174601.00
14 DEC 2025,14 DEC 2025,UPI/200000193/MERCHANT/merch@ybl/Payment,200000193,299.00,,-174900.00
15 DEC 2025,15 DEC 2025,UPI/887766554433/SPOTIFY/spotify@ybl/Music,200000194,119.00,,-175019.00
15 DEC 2025,15 DEC 2025,UPI/200000195/Phonepe/Airtel Recharge,200000195,149.00,,-175168.00
15 DEC 2025,15 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000196,200000196,149.00,,-175317.00
15 DEC 2025,15 DEC 2025,UPI/200000197/VI/vi@ibl/Recharge,200000197,99.00,,-175416.00
15 DEC 2025,15 DEC 2025,UPI/200000198/VI/vi@ibl/Recharge,200000198,1899.00,,-177315.00
16 DEC 2025,16 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000199,200000199,499.00,,-177814.00
16 DEC 2025,16 DEC 2025,POS PURCHASE POS DMART MUMBAI 000200,200000200,299.00,,-178113.00
16 DEC 2025,16 DEC 2025,POS PURCHASE POS FLIP MUMBAI 000201,200000201,349.00,,-178462.00
16 DEC 2025,16 DEC 2025,UPI/200000202/Phonepe/Airtel Recharge,200000202,149.00,,-178611.00
17 DEC 2025,17 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000203,200000203,799.00,,-179410.00
17 DEC 2025,17 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000204,200000204,149.00,,-179559.00
17 DEC 2025,17 DEC 2025,POS PURCHASE POS DOM MUMBAI 000205,200000205,99.00,,-179658.00
17 DEC 2025,17 DEC 2025,POS PURCHASE POS FORTIS MUMBAI 000206,200000206,49.00,,-179707.00
17 DEC 2025,17 DEC 2025,UPI/200000207/Phonepe/Airtel Recharge,200000207,149.00,,-179856.00
18 DEC 2025,18 DEC 2025,POS PURCHASE POS APOLLO MUMBAI 000208,200000208,149.00,,-180005.00
18 DEC 2025,18 DEC 2025,POS PURCHASE POS HP MUMBAI 000209,200000209,199.00,,-180204.00
18 DEC 2025,18 DEC 2025,UPI/776655443322/AMAZON PAY/amazonpay@icici/Prime,200000210,299.00,,-180503.00
18 DEC 2025,18 DEC 2025,UPI/200000211/SWIGGY/swiggy@payt/Payment,200000211,349.00,,-180852.00
18 DEC 2025,18 DEC 2025,UPI/200000212/RAPIDO/rapido@ibl/Ride,200000212,99.00,,-180951.00
19 DEC 2025,19 DEC 2025,UPI/200000213/MERCHANT/merch@ybl/Payment,200000213,49.00,,-181000.00
19 DEC 2025,19 DEC 2025,UPI/200000214/OLA/ola@ybl/Ride,200000214,1299.00,,-182299.00
19 DEC 2025,19 DEC 2025,UPI/200000215/MERCHANT/merch@ybl/Payment,200000215,299.00,,-182598.00
19 DEC 2025,19 DEC 2025,UPI/200000216/RAPIDO/rapido@ibl/Ride,200000216,199.00,,-182797.00
20 DEC 2025,20 DEC 2025,UPI/665544332211/HOTSTAR/hotstar@paytm/Video,200000217,299.00,,-183096.00
20 DEC 2025,20 DEC 2025,POS PURCHASE POS HP MUMBAI 000218,200000218,2499.00,,-185595.00
20 DEC 2025,20 DEC 2025,POS PURCHASE POS HP MUMBAI 000219,200000219,2499.00,,-188094.00
20 DEC 2025,20 DEC 2025,POS PURCHASE POS IOCL MUMBAI 000220,200000220,499.00,,-188593.00
20 DEC 2025,20 DEC 2025,UPI/200000221/RAPIDO/rapido@ibl/Ride,200000221,349.00,,-188942.00
21 DEC 2025,21 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000222,200000222,299.00,,-189241.00
21 DEC 2025,21 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000223,200000223,499.00,,-189740.00
21 DEC 2025,21 DEC 2025,POS PURCHASE POS SB MUMBAI 000224,200000224,799.00,,-190539.00
21 DEC 2025,21 DEC 2025,UPI/200000225/UBER/uber@axis/Ride,200000225,149.00,,-190688.00
22 DEC 2025,22 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000226,200000226,1899.00,,-192587.00
22 DEC 2025,22 DEC 2025,POS PURCHASE POS CCD MUMBAI 000227,200000227,49.00,,-192636.00
22 DEC 2025,22 DEC 2025,POS PURCHASE POS KFC MUMBAI 000228,200000228,2499.00,,-195135.00
22 DEC 2025,22 DEC 2025,UPI/200000229/VI/vi@ibl/Recharge,200000229,249.00,,-195384.00
23 DEC 2025,23 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000230,200000230,799.00,,-196183.00
23 DEC 2025,23 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000231,200000231,1899.00,,-198082.00
23 DEC 2025,23 DEC 2025,POS PURCHASE POS CCD MUMBAI 000232,200000232,1299.00,,-199381.00
23 DEC 2025,23 DEC 2025,POS PURCHASE POS IOCL MUMBAI 000233,200000233,199.00,,-199580.00
24 DEC 2025,24 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000234,200000234,1899.00,,-201479.00
24 DEC 2025,24 DEC 2025,POS PURCHASE POS APOLLO MUMBAI 000235,200000235,499.00,,-201978.00
24 DEC 2025,24 DEC 2025,POS PURCHASE POS REL MUMBAI 000236,200000236,199.00,,-202177.00
24 DEC 2025,24 DEC 2025,UPI/200000237/UBER/uber@axis/Ride,200000237,199.00,,-202376.00
25 DEC 2025,25 DEC 2025,UPI/556677889900/LARGE GIFT/lrgift@paytm/Payment,200000238,62000.00,,-264376.00
25 DEC 2025,25 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000239,200000239,299.00,,-264675.00
25 DEC 2025,25 DEC 2025,BBPS/MOBILE/JIO PREPAID/REF000240,200000240,1299.00,,-265974.00
25 DEC 2025,25 DEC 2025,POS PURCHASE POS DMART MUMBAI 000241,200000241,1299.00,,-267273.00
